1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,0.6249,1.6563,0.7607,1.1616,0.7902,0.9145,0.608,1.1147,0.7598,1.1485,0.8488,1.3971,1.8447,1.3064,0.4402,0.8885,0.9569
,,1.8862,2.3545,0.5219,1.6016,0.4476,0.8804,0.7693,1.2432,0.9775,0.7042,0.7247,0.8449,1.4588,1.2652,0.7276,1.0531,1.8293
,,2.0002,1.8821,0.4054,1.8095,0.7169,1.5209,0.5178,1.5227,0.5102,1.4019,0.4662,1.0311,1.7345,1.35,0.3396,0.4487,2.0255
,,0.7171,0.9288,0.6819,1.0892,0.8237,1.5333,0.7243,0.9871,0.6455,1.4094,0.6344,0.6879,1.6458,1.5191,0.7311,0.843,1.6834
,,0.6115,1.023,0.1737,1.7597,0.6892,1.6411,0.9213,1.5537,0.4578,0.6571,1.0888,1.6582,1.2625,1.9111,0.4611,0.7221,1.5981
,,1.8938,1.4617,0.1666,1.4395,0.6046,0.716,0.5741,1.1039,1.0131,1.227,0.5127,1.0961,0.9949,1.4725,0.5157,1.4139,1.135
,,0.8427,0.56,1.2854,1.5379,0.9476,1.1068,0.931,0.803,1.1209,1.1264,0.7026,1.1333,1.3781,1.1575,0.4822,1.2664,2.2641
,,1.0388,0.378,0.7641,1.7602,0.7285,0.7266,1.1446,1.3247,1.0242,0.666,0.5065,1.2031,1.0372,1.3091,0.3947,0.7146,1.1205
,,0.9172,0.5402,0.5082,2.0895,1.0385,0.7183,0.4739,1.668,0.5704,0.8423,0.4056,0.6271,0.8697,1.0264,0.4453,1.1309,1.5249
,,1.2639,0.7249,0.3902,1.4595,0.5253,1.124,0.5881,0.8172,0.6093,0.7138,0.7866,1.4603,1.203,1.6919,0.7782,0.5027,2.0051
,,0.6671,0.5208,0.8354,2.8236,0.6738,0.7795,0.602,1.3532,1.0373,0.5879,0.8644,1.6823,0.689,1.6082,0.6466,1.0764,1.2802
,,2.3492,0.6057,0.5849,1.024,0.4534,1.1694,0.5469,1.4075,1.099,1.8675,0.2932,1.0506,1.1995,1.2497,0.4333,1.4619,1.1807
,,0.906,1.4197,0.4644,1.3942,0.4338,0.953,0.9865,1.0744,0.8194,0.607,0.2517,1.6014,1.6983,1.3465,0.5511,0.916,1.7107
,,1.548,0.6449,0.6753,1.0967,0.5143,0.7483,0.8845,0.8942,0.9438,1.1688,0.4906,1.5163,0.6699,1.6304,0.898,0.7617,1.4491
,,0.9353,1.7473,0.7223,1.5815,0.976,0.6299,0.7154,0.5195,0.6866,0.6113,0.5705,0.8808,1.3116,1.6113,0.828,0.9938,2.2312
,,3.8314,1.3851,0.313,1.1895,0.6938,1.2697,0.295,1.317,0.7896,0.9915,0.4499,1.3846,1.3216,0.9533,0.5568,0.6202,1.5793
,,1.5549,0.758,1.01,1.366,0.4915,1.1891,0.5524,1.3207,0.884,0.6494,1.0185,0.9378,1.2558,2.2199,0.9401,0.4189,0.9339
,,1.5466,0.5141,0.3426,1.2505,0.5626,1.2911,0.3582,1.0452,0.6021,1.6064,0.8626,1.5511,1.6547,1.0569,0.5948,1.0319,0.8697
,,1.2104,0.428,0.4669,1.3083,0.8391,1.2989,0.6358,0.906,0.4414,0.7794,0.3362,1.0485,1.1173,2.1689,0.6695,1.0959,1.1051
,,4.7963,0.6135,0.4884,1.0917,0.5477,0.411,0.8134,1.5214,0.6267,0.6836,0.6007,0.8487,1.315,1.2252,0.4242,0.5075,1.0546
,,0.9539,0.4772,0.6996,1.1419,0.9873,1.6878,0.3952,0.9503,0.8288,0.8137,0.3133,1.2811,1.2807,1.4867,0.4514,0.5986,1.0583
,,1.2916,0.9671,0.4445,1.2515,0.7418,0.8114,0.4058,1.4492,0.9539,0.7008,0.5224,1.5004,1.3075,1.1529,0.6566,1.0508,0.7762
,,1.4518,1.4428,0.4553,1.671,0.4624,0.9949,0.7458,1.2187,0.7492,1.1714,0.8527,1.1604,1.8827,2.1015,0.6252,0.7421,0.878
,,2.2159,0.5809,0.5135,1.9236,0.9783,1.9452,0.608,1.3495,0.8524,1.6511,0.826,0.9735,0.9108,1.6112,0.4111,0.7612,0.9874
,,2.6433,0.5591,0.3936,1.4921,0.3611,0.8426,1.2794,0.9868,1.6195,1.2171,0.5883,0.6848,0.8709,1.6285,0.3215,1.296,1.6114
,,1.6558,0.9491,0.9711,0.841,1.1413,0.7902,0.3078,1.1068,1.1725,0.7777,0.7095,1.9484,1.1265,1.7922,0.4683,0.7418,0.9663
,,1.5803,0.2551,0.5817,0.7948,0.7387,1.4165,0.678,1.0767,0.8433,1.0173,0.5892,1.085,1.3371,2.0571,0.5852,0.7581,2.3177
,,0.8147,0.4618,0.4181,1.3164,0.8313,1.1689,0.2399,1.6444,0.9213,1.2393,0.416,0.7621,2.0164,1.7641,0.3354,1.0614,1.1987
,,0.7031,0.9286,0.8712,1.0516,0.5484,1.0176,0.4908,0.6261,0.8139,0.6395,0.6048,0.8698,1.1675,1.979,0.4393,0.774,1.3425
,,1.0045,0.8182,0.5237,1.7921,1.0986,0.8381,0.5844,0.9635,0.9568,0.8185,0.5233,0.5457,1.1282,1.519,0.7904,0.338,1.3962
,,1.1256,0.9977,0.55,2.059,0.5428,1.016,0.3547,1.3408,0.6215,0.8634,0.4603,0.9941,1.2987,1.2241,1.2994,0.879,1.7438
,,1.632,1.0536,0.6093,1.2774,0.7105,1.6039,0.6434,0.7446,1.418,0.7862,0.4825,1.4489,0.5284,1.0569,0.6178,0.544,1.2837
,,1.4128,1.5888,1.0476,2.2428,0.8479,0.6401,0.6056,1.2712,0.5518,0.5531,0.3332,0.7098,1.1824,1.4551,0.362,0.773,1.3217
,,1.3909,1.1845,0.4962,1.3208,0.3168,1.0723,0.355,1.0096,0.6249,0.9436,0.7716,0.9473,0.7401,2.3369,0.4454,0.9193,2.1953
,,1.4343,0.7323,0.2809,2.0166,0.7856,1.1153,0.5565,0.9882,0.8181,0.8019,0.4392,1.1806,3.1835,1.3833,0.3851,0.9597,1.211
,,1.1787,0.3138,0.6417,1.2208,0.6409,1.7019,0.8789,0.6353,0.623,0.8544,0.5365,1.3577,1.4723,1.4269,0.5026,0.556,1.3556
,,2.8728,2.9854,0.4864,1.388,0.4431,1.3786,0.8361,1.2438,0.8132,1.0685,0.3857,1.0933,1.4429,1.0777,0.6533,0.832,2.0823
,,1.6168,0.6861,0.5452,1.9187,0.2558,1.0845,0.416,2.0153,0.8261,0.8684,0.8877,1.5335,3.0918,1.5423,0.5386,0.705,1.0533
,,0.8823,1.5146,0.8546,1.9185,0.6369,0.6844,0.6149,1.0622,0.4832,0.7623,0.6094,1.1388,1.0351,2.1561,0.512,1.7462,1.3796
,,1.004,0.7188,0.4413,1.4595,0.4149,2.2559,0.6395,0.5291,0.8639,1.077,0.636,0.8171,1.4352,1.3159,0.5526,0.6752,1.9151
,,1.2186,0.9489,0.4101,1.3517,0.4315,0.6275,0.3025,0.8257,0.8319,0.337,0.8063,1.0319,2.2881,2.061,0.3236,1.0112,2.6086
,,0.6822,1.1246,0.3866,1.434,0.5934,0.6288,0.5137,1.3476,0.7386,0.5066,0.5772,0.7228,2.0516,1.1617,0.3596,0.9954,1.2834
,,1.5274,0.9833,0.3688,2.0663,0.6523,0.9801,0.7338,0.943,0.8821,0.5199,0.6319,1.3918,1.2645,1.2406,0.5388,1.4591,0.8347
,,1.5145,0.653,0.6184,2.5466,0.7185,1.4207,0.5122,0.9232,0.6938,0.3485,0.5523,0.7668,2.0033,1.8039,0.6089,0.4545,1.2761
,,3.137,0.3955,0.5932,2.2469,0.7995,1.1543,0.8241,1.8928,0.8304,0.9215,0.7334,0.833,1.5301,1.6041,0.3984,1.5028,1.7307
,,0.8665,0.7378,0.3571,1.641,0.8117,0.8275,0.4287,0.5527,0.9311,1.2631,0.706,0.9342,2.6163,1.386,0.6171,1.621,1.2608
,,0.6371,0.7776,0.3697,1.4971,0.4797,1.5363,0.3658,0.5378,1.4316,0.6899,0.3152,1.0677,1.5746,1.3761,0.4529,0.7922,1.3053
,,2.2535,0.7595,0.3513,1.3471,0.8519,0.9206,0.4062,0.7146,0.7299,1.1908,0.2583,0.7691,1.3622,1.4621,0.3305,0.604,1.1155
,,0.7705,2.6991,0.5177,1.2882,0.7037,1.5959,0.5673,1.2379,1.1892,0.4714,0.3956,1.079,0.8718,1.7982,0.7516,1.1812,1.5402
,,0.8595,0.6285,0.422,1.6708,0.546,1.1271,0.6344,1.0266,0.9162,1.7741,0.7365,0.9997,1.3137,1.8837,0.2828,0.6206,1.9624
,,0.9946,0.4303,0.3836,1.4696,0.6797,1.1862,0.4175,1.4744,0.7004,0.9947,0.7065,0.8617,1.0806,1.7776,0.7322,0.8622,2.7084
,,0.9146,0.6225,0.4183,1.8808,0.4132,0.5767,0.4691,0.9273,0.6482,1.7931,0.572,0.6865,1.1188,1.6634,0.3383,0.9095,1.9587
,,0.8377,1.344,0.3231,2.3038,0.6004,0.672,0.7376,0.7426,1.4403,0.8959,0.4021,1.112,1.7309,2.0695,0.4416,1.1831,1.8105
,,2.117,0.7566,0.6333,0.8115,0.3692,1.0809,0.6551,2.0544,0.418,1.0199,0.3688,0.8517,1.6575,2.404,0.3277,0.3832,0.918
,,1.866,0.422,0.4179,1.0653,0.4514,0.5662,0.6451,1.2367,0.4062,1.1054,0.5041,0.9101,1.8237,1.0816,0.7269,0.8174,2.3647
,,1.0582,1.6002,0.5715,1.7725,0.7663,1.4815,0.4813,0.9999,0.7177,0.8288,0.6105,1.9087,2.2158,1.4267,0.8544,0.9096,1.2614
,,1.2735,1.2505,0.5506,1.6446,1.266,0.9768,0.5196,1.8197,0.5348,0.695,0.4799,0.7038,1.2818,2.5671,0.3277,1.0584,1.6266
,,1.2146,0.6507,0.6613,1.8928,0.5519,0.8151,0.5349,0.7111,0.5995,0.5419,0.4772,1.0324,1.7005,1.653,0.6832,1.0299,1.8558
,,1.6305,0.4391,0.3637,1.5479,0.6791,0.6768,0.4475,1.0716,1.4461,0.9558,1.2419,1.4126,1.8588,2.5639,0.4589,1.0489,1.2205
,,1.0254,0.7007,0.922,1.5286,0.916,0.9557,0.6278,1.1463,0.8264,1.0818,0.5708,1.3834,2.4258,0.9201,1.0275,0.597,1.5518
