1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2.2542,1.0697,1.1693,0.7627,0.7833,0.7695,1.1793,1.2577,0.4411,0.768,0.4909,0.5049,0.6411,0.5201,0.7061,1.1084,1.1564,0.7381,0.872
2.3648,1.8357,1.3622,0.8348,0.9727,0.7879,1.1111,1.3396,0.4389,1.28,0.3448,0.5394,0.7487,0.5629,0.623,0.7531,0.8807,0.9615,0.9041
1.7919,1.6733,1.1142,0.8395,1.2863,0.6099,1.0765,1.0906,0.6248,0.8144,0.4818,0.4027,0.9976,0.6306,0.5903,0.9487,1.063,0.5541,1.0041
1.2893,1.3782,1.0405,0.7154,0.9505,0.72,1.4041,0.7542,0.6833,0.821,0.5296,0.5332,1.2337,0.5587,0.8498,0.9111,0.7957,0.9464,1.0633
1.5613,1.3834,0.7696,0.9541,1.1503,0.7504,1.0021,1.1257,0.792,1.372,0.4578,0.3165,0.8303,0.5076,0.7657,1.0158,0.8639,0.9573,0.9501
2.0845,1.8541,1.3501,0.6392,1.0875,0.6718,0.8354,1.6481,0.7913,1.1303,0.3859,0.36,0.8315,0.3956,0.4454,0.8638,0.7843,0.8849,1.1436
1.697,1.6445,0.8199,0.8346,1.1487,0.9474,0.7911,1.0034,0.5285,1.1787,0.4351,0.4335,0.9106,0.5349,0.6016,1.2964,0.7079,0.7113,1.0527
2.5285,2.0015,0.9791,0.6574,0.8209,0.7028,1.0498,1.57,0.9528,0.8023,0.6072,0.6011,0.939,0.6299,0.5969,1.1658,0.8484,0.8408,1.0838
1.9433,2.5283,0.9434,0.6505,0.8497,0.7714,1.1433,1.1277,0.6602,0.8755,0.514,0.4447,0.9897,0.6535,0.6386,1.1334,0.7785,0.8771,0.9741
2.6982,1.6818,1.3805,0.8269,1.108,0.7685,1.4354,1.5314,0.743,1.1215,0.5436,0.4487,0.8651,0.4905,0.6351,1.1373,0.7779,0.831,0.9052
2.1087,2.0634,1.1804,0.6986,0.671,0.5707,0.9338,1.6387,0.7997,0.8918,0.3856,0.3468,0.8431,0.6551,0.7741,0.7513,0.6258,0.9263,1.0672
2.0227,1.5084,1.5034,0.6092,1.0619,0.6635,0.889,1.3478,0.4913,0.8254,0.5248,0.4539,0.71,0.6918,0.4482,0.8062,0.697,0.7738,1.1499
