1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1.0158,0.8019,0.2752,0.3494,0.3133,0.5453,0.3018,0.3292,0.5831,0.1589,0.3876,0.3063,0.29,0.1706,0.1775,0.2934,0.413,0.1357,0.2341
0.761,0.5,0.3254,0.7937,0.3337,0.4152,0.3387,0.6377,0.4838,0.1945,0.3561,0.3691,0.1903,0.1653,0.2443,0.2243,0.1968,0.1975,0.1911
0.532,0.7304,0.4185,0.8309,0.3297,0.4072,0.3108,0.4674,0.3758,0.136,0.2516,0.325,0.1761,0.1749,0.2522,0.3482,0.2922,0.1786,0.248
0.7296,0.6692,0.4088,0.4029,0.5145,0.5948,0.445,0.367,0.4888,0.1274,0.4231,0.2259,0.264,0.203,0.2303,0.3214,0.2543,0.1712,0.1561
0.9242,0.7629,0.3028,0.5558,0.3545,0.5943,0.3303,0.5387,0.5726,0.2003,0.3612,0.2535,0.159,0.1351,0.247,0.2541,0.3565,0.1656,0.2633
0.7785,0.3746,0.2748,0.401,0.3348,0.3251,0.2721,0.6247,0.5072,0.2634,0.3288,0.2395,0.237,0.1898,0.2379,0.3869,0.2535,0.1725,0.1661
0.7813,0.7837,0.2235,0.5236,0.2742,0.5967,0.3321,0.4553,0.4625,0.188,0.4312,0.4874,0.2184,0.1608,0.2217,0.2752,0.3311,0.1889,0.251
0.6902,0.8305,0.294,0.479,0.3146,0.3629,0.2942,0.6644,0.4896,0.237,0.4848,0.3519,0.1729,0.0962,0.1858,0.2828,0.3386,0.2266,0.2037
0.9206,0.792,0.2793,0.5813,0.2346,0.4631,0.2808,0.3885,0.4622,0.1851,0.3712,0.2891,0.2885,0.147,0.1894,0.5024,0.2699,0.1721,0.2021
1.1797,0.6798,0.2883,0.6137,0.2324,0.512,0.3533,0.5972,0.6041,0.2043,0.5769,0.2437,0.2545,0.1831,0.2428,0.3139,0.3449,0.1866,0.2411
0.643,0.8111,0.4084,0.7388,0.3625,0.4747,0.3459,0.4302,0.3376,0.1805,0.4844,0.3487,0.2778,0.1621,0.1887,0.4716,0.3014,0.1893,0.1687
